Round: 10, Child: 0, Score: 190.0, VisitCount: 568, Child: 1, Score: 810.0, VisitCount: 1918, Child: 2, Score: 815.0, VisitCount: 1976, 
Round: 11, Child: 0, Score: 4.0, VisitCount: 189, Child: 1, Score: 9.0, VisitCount: 181, Child: 2, Score: 1168.0, VisitCount: 3101, 
Round: 12, Child: 0, Score: 106.0, VisitCount: 1098, Child: 1, Score: 45.0, VisitCount: 692, Child: 2, Score: 267.0, VisitCount: 2026, 
Round: 13, Child: 0, Score: 8.0, VisitCount: 109, Child: 1, Score: 10.0, VisitCount: 107, Child: 2, Score: 1258.0, VisitCount: 3059, 
Round: 14, Child: 0, Score: 14.0, VisitCount: 196, Child: 1, Score: 28.0, VisitCount: 262, Child: 2, Score: 929.0, VisitCount: 2854, 
Round: 15, Child: 0, Score: 13.0, VisitCount: 119, Child: 1, Score: 761.0, VisitCount: 1956, Child: 2, Score: 386.0, VisitCount: 1083, 
Round: 16, Child: 0, Score: 2284.0, VisitCount: 2765, Child: 1, Score: 14.0, VisitCount: 46, Child: 2, Score: 166.0, VisitCount: 255, 
Round: 17, Child: 0, Score: 29.0, VisitCount: 53, Child: 1, Score: 1461.0, VisitCount: 1464, Child: 2, Score: 1503.0, VisitCount: 1504, 
Round: 18, Child: 0, Score: 0.0, VisitCount: 1501, Child: 1, Score: 0.0, VisitCount: 1501, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 273.0, VisitCount: 2069, Child: 1, Score: 288.0, VisitCount: 2039, Child: 2, Score: 1217.5, VisitCount: 4679, 
